image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,g clef,9,152,188
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,semibreve,9,203,230
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim rest,,230,247
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,9,250,272
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,8,271,292
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,semibreve,6,291,318
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,colored semibreve,7,318,345
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,semiminim,6,341,362
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,5,362,386
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,4,383,405
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,point,,398,416
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,fusa,5,412,433
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,fusa,6,428,452
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,7,447,466
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,8,465,486
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,7,483,505
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,6,505,527
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,point,,519,537
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,semiminim,7,536,556
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,semibreve,8,551,573
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,minim,9,572,596
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,longa,8,594,625
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_003v_4847_6798/A-Wn_15495_003v_4847_6798_3.jpeg,barline,,622,645
