image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,c clef,7,365,394
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,Pmincut,,393,436
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,breve,5,443,479
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,4,477,499
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,point,,492,510
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semiminim,5,509,529
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,7,525,545
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semibreve,3,543,562
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,4,560,581
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semibreve,3,580,603
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,point,,594,617
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,4,609,630
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,3,630,651
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,7,649,669
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim rest,,671,686
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,7,686,708
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semibreve,6,708,729
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,8,726,745
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,7,743,764
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,9,762,783
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,minim,10,781,800
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semibreve,9,800,824
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,colored semibreve,8,817,840
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,semiminim,7,840,862
./Ground_with_df/IDEM/A-Wn_15495/A-Wn_15495_004_4697_6798/A-Wn_15495_004_4697_6798_0.jpeg,custos,,844,899
