label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
barline,0.266357,,560,75,622,89,[],"[757, 766, 775, 784, 793, 802, 813, 822, 828, 837, 847, 856, 865, 874, 883]",161.0
c clef,0.84668,5,547,142,604,160,[0.99],"[757, 766, 775, 784, 793, 802, 813, 822, 828, 837, 847, 856, 865, 874, 883]",144.0
flat,0.744141,5,544,157,594,172,"[['5', 0.9997905], ['11', 0.00019217945], ['6', 1.34332195e-05]]","[760, 769, 778, 787, 796, 805, 813, 822, 831, 840, 849, 858, 867, 876, 885]",168.0
minim,0.821777,7,544,172,607,192,"[['7', 1.0], ['6', 7.2696216e-10], ['8', 5.0450183e-10]]","[760, 769, 778, 787, 796, 805, 813, 822, 831, 840, 849, 858, 867, 876, 885]",156.0
point,0.660156,,545,182,562,197,[],"[760, 769, 778, 787, 795, 804, 812, 821, 831, 840, 849, 858, 867, 876, 885]",188.0
minim,0.829102,6,539,190,599,209,"[['6', 1.0], ['5', 4.683019e-12], ['7', 3.2258193e-14]]","[760, 769, 778, 787, 795, 804, 813, 822, 830, 839, 848, 857, 866, 875, 884]",164.0
semibreve,0.866211,8,570,210,612,232,"[['8', 0.99989533], ['7', 0.00010467036], ['4', 2.9692524e-08]]","[759, 768, 777, 786, 795, 804, 812, 821, 830, 839, 848, 857, 866, 875, 884]",151.0
semibreve,0.843262,9,575,229,617,249,"[['9', 0.9999976], ['8', 2.3967448e-06], ['4', 5.533642e-10]]","[759, 768, 777, 786, 793, 802, 811, 820, 828, 837, 847, 856, 865, 874, 883]",139.0
breve rest,0.718262,,547,245,619,260,[],"[757, 766, 775, 784, 793, 802, 810, 819, 828, 837, 845, 854, 863, 872, 881]",159.0
semibreve,0.224243,0,530,247,552,265,"[['0', 0.9113655], ['1', 0.08680927], ['7', 0.0005401116]]","[757, 766, 775, 784, 792, 801, 810, 819, 827, 836, 845, 854, 863, 872, 881]",168.0
semibreve,0.839844,2,530,260,567,280,"[['2', 0.9999343], ['1', 6.563104e-05], ['3', 1.7097436e-08]]","[757, 766, 775, 784, 792, 801, 809, 818, 827, 836, 845, 854, 863, 872, 881]",158.0
minim,0.848633,3,539,279,602,297,"[['3', 1.0], ['12', 6.8261263e-15], ['8', 2.6717817e-16]]","[756, 765, 774, 783, 791, 800, 809, 818, 827, 836, 844, 853, 862, 871, 880]",161.0
semibreve,0.856445,5,549,295,587,315,"[['5', 1.0], ['4', 8.7794225e-12], ['1', 3.6707394e-13]]","[756, 765, 774, 783, 791, 800, 807, 816, 826, 835, 844, 853, 862, 871, 880]",153.0
semibreve,0.835449,4,540,312,580,332,"[['4', 0.9999827], ['5', 1.536168e-05], ['3', 1.8095812e-06]]","[754, 763, 772, 781, 789, 798, 807, 816, 826, 835, 842, 851, 860, 869, 878]",161.0
breve,0.854492,5,554,327,584,349,"[['5', 0.9999993], ['6', 6.709241e-07], ['4', 1.1992002e-08]]","[753, 762, 771, 780, 789, 798, 806, 815, 824, 833, 842, 851, 860, 869, 878]",149.0
semibreve,0.856934,5,545,345,587,367,"[['5', 1.0], ['1', 3.0611605e-10], ['4', 8.480552e-11]]","[753, 762, 771, 780, 788, 797, 806, 815, 823, 832, 841, 850, 859, 868, 877]",155.0
semibreve,0.838379,4,539,362,580,382,"[['4', 0.9999969], ['3', 3.0822284e-06], ['1', 4.0466297e-09]]","[752, 761, 770, 779, 788, 797, 805, 814, 823, 832, 841, 850, 859, 868, 877]",162.0
minim,0.856934,4,547,382,612,400,"[['4', 0.8465531], ['5', 0.1295144], ['11', 0.022738248]]","[752, 761, 770, 779, 786, 795, 804, 813, 821, 830, 840, 849, 858, 867, 876]",167.0
minim,0.842285,7,537,400,597,419,"[['7', 1.0], ['6', 1.6054125e-08], ['8', 3.7142923e-13]]","[750, 759, 768, 777, 787, 796, 803, 812, 821, 830, 840, 849, 858, 867, 876]",159.0
semiminim,0.862793,6,532,419,592,437,"[['6', 0.99999857], ['5', 1.4038164e-06], ['12', 3.7439047e-09]]","[750, 759, 768, 777, 785, 794, 802, 811, 820, 829, 838, 847, 856, 865, 874]",154.0
semiminim,0.867676,7,534,434,599,452,"[['7', 1.0], ['6', 1.0450021e-09], ['8', 7.3510215e-14]]","[749, 758, 767, 776, 784, 793, 802, 811, 820, 829, 838, 847, 856, 865, 874]",160.0
semiminim,0.861328,8,535,450,604,467,"[['8', 1.0], ['9', 3.667918e-10], ['7', 3.0927566e-11]]","[747, 756, 765, 774, 784, 793, 801, 810, 819, 828, 837, 846, 855, 864, 873]",157.0
semiminim,0.865234,9,542,467,610,484,"[['9', 0.99999964], ['10', 3.6148597e-07], ['8', 1.9169233e-09]]","[747, 756, 765, 774, 782, 791, 800, 809, 819, 828, 837, 846, 855, 864, 873]",152.0
minim,0.862793,10,547,484,615,502,"[['10', 1.0], ['11', 1.0053229e-10], ['9', 3.3928386e-14]]","[746, 755, 764, 773, 782, 791, 799, 808, 817, 826, 835, 844, 853, 862, 871]",157.0
semibreve,0.849609,9,567,502,609,520,"[['9', 1.0], ['10', 5.734484e-12], ['8', 9.411209e-15]]","[746, 755, 764, 773, 781, 790, 799, 808, 817, 826, 835, 844, 853, 862, 871]",150.0
minim,0.809082,10,545,519,612,537,"[['10', 1.0], ['11', 1.3038581e-11], ['3', 2.7308672e-12]]","[745, 754, 763, 772, 781, 790, 799, 808, 816, 825, 834, 843, 852, 861, 870]",161.0
semibreve,0.70459,10,537,535,619,557,"[['10', 0.4189477], ['1', 0.2746693], ['7', 0.26349825]]","[745, 754, 763, 772, 779, 788, 798, 807, 816, 825, 834, 843, 852, 861, 870]",161.0
semibreve,0.662109,12,542,560,622,584,"[['12', 0.9979482], ['1', 0.0013771992], ['0', 0.00031040562]]","[743, 752, 761, 770, 779, 788, 796, 805, 814, 823, 833, 842, 851, 860, 869]",156.0
point,0.116516,,574,579,599,597,[],"[743, 752, 761, 770, 778, 787, 796, 805, 813, 822, 830, 839, 848, 857, 866]",189.0
custos,0.369873,,567,579,599,600,[],"[742, 751, 760, 769, 777, 786, 795, 804, 813, 822, 831, 840, 849, 858, 867]",188.0
