label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
f clef,0.747559,7,720,463,797,499,[0.99],"[712, 718, 725, 731, 739, 745, 751, 757, 763, 769, 775, 781, 787, 794, 800]",158.0
minim,0.70166,6,711,492,768,508,"[['6', 1.0], ['5', 1.6495739e-11], ['12', 5.581383e-15]]","[712, 718, 725, 731, 739, 745, 751, 757, 763, 769, 775, 781, 787, 794, 800]",152.0
colored semibreve,0.745605,3,713,505,748,522,"[['3', 1.0], ['4', 6.70787e-09], ['2', 2.8371597e-10]]","[712, 718, 725, 731, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",144.0
semiminim,0.814453,4,719,518,785,534,"[['4', 1.0], ['3', 1.1902603e-14], ['9', 1.4397019e-17]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",145.0
minim,0.836914,5,724,531,790,547,"[['5', 1.0], ['6', 1.0349616e-12], ['11', 9.403323e-13]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",153.0
minim,0.798828,6,707,543,767,560,"[['6', 0.9999957], ['5', 4.297133e-06], ['12', 3.396021e-11]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 775, 781, 787, 794, 800]",154.0
semibreve,0.82666,5,723,557,758,574,"[['5', 1.0], ['4', 5.528071e-11], ['6', 1.0335787e-12]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 775, 781, 787, 794, 800]",148.0
minim,0.824707,7,712,569,775,586,"[['7', 1.0], ['6', 5.2531596e-13], ['8', 1.785701e-15]]","[711, 717, 724, 730, 737, 743, 750, 756, 762, 768, 775, 781, 787, 794, 800]",150.0
colored semibreve,0.820312,8,743,584,781,603,"[['8', 0.9999993], ['9', 3.2660705e-07], ['7', 2.2195336e-07]]","[711, 717, 724, 730, 736, 742, 749, 755, 762, 768, 775, 781, 787, 794, 800]",139.0
semiminim,0.853027,7,711,600,774,615,"[['7', 0.9999989], ['6', 1.0377667e-06], ['8', 4.8932712e-11]]","[710, 716, 723, 729, 736, 742, 749, 755, 762, 768, 775, 781, 787, 794, 800]",153.0
minim,0.865723,6,709,614,766,631,"[['6', 0.999057], ['7', 0.000453876], ['12', 0.00043727912]]","[710, 716, 723, 729, 736, 742, 749, 755, 762, 768, 775, 781, 787, 794, 800]",155.0
colored semibreve,0.731934,0,721,627,761,645,"[['0', 0.7352535], ['5', 0.2591512], ['4', 0.0045627374]]","[710, 716, 723, 729, 736, 742, 749, 755, 762, 768, 775, 781, 787, 794, 800]",166.0
semiminim,0.791992,6,709,643,766,657,"[['6', 0.99999976], ['5', 2.6530856e-07], ['7', 2.7635567e-09]]","[711, 717, 724, 730, 737, 743, 750, 756, 762, 768, 775, 781, 787, 794, 800]",147.0
semiminim,0.83252,7,712,653,775,668,"[['7', 0.9999745], ['8', 1.347551e-05], ['6', 1.1337144e-05]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",149.0
semiminim,0.833008,8,718,666,782,681,"[['8', 0.994972], ['3', 0.0050156857], ['9', 5.6889985e-06]]","[711, 717, 724, 730, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",155.0
minim,0.836426,9,725,680,788,698,"[['9', 0.9999956], ['10', 2.6941361e-06], ['8', 1.6258128e-06]]","[712, 718, 725, 731, 737, 743, 751, 757, 763, 769, 776, 782, 788, 795, 801]",151.0
point,0.527344,,756,690,775,699,[],"[712, 718, 725, 731, 738, 744, 751, 757, 763, 769, 776, 782, 788, 795, 801]",133.0
semibreve,0.818848,8,742,694,783,713,"[['8', 0.9999912], ['7', 7.7347595e-06], ['9', 7.202273e-07]]","[712, 718, 725, 731, 737, 743, 751, 757, 764, 770, 776, 782, 788, 795, 801]",149.0
point,0.310059,,742,694,783,713,[],"[712, 718, 725, 731, 737, 743, 751, 757, 764, 770, 777, 783, 789, 796, 802]",149.0
point,0.779785,,751,706,774,723,[],"[712, 718, 725, 731, 737, 743, 751, 757, 764, 770, 777, 783, 789, 796, 802]",154.0
semibreve,0.72998,11,764,718,799,740,"[['11', 0.9999969], ['12', 2.4940848e-06], ['10', 3.6739192e-07]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",149.0
minim rest,0.399658,,723,731,795,744,[],"[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",162.0
colored semibreve,0.781738,4,717,734,758,755,"[['4', 0.99999], ['3', 8.079077e-06], ['8', 1.5215601e-06]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",144.0
semiminim,0.865723,5,706,753,763,769,"[['5', 1.0], ['6', 1.01563605e-10], ['11', 2.5491456e-12]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",143.0
semiminim,0.825195,6,706,766,769,781,"[['6', 0.9999995], ['5', 4.3249105e-07], ['12', 1.6516841e-09]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",141.0
semiminim,0.861816,7,710,779,777,795,"[['7', 1.0], ['6', 1.7142497e-10], ['8', 5.4331847e-12]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",140.0
point,0.42749,,728,793,772,813,[],"[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",143.0
semibreve,0.830078,6,727,793,771,812,"[['6', 0.9995054], ['7', 0.00042438784], ['0', 4.780209e-05]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",144.0
point,0.790039,,739,805,761,820,[],"[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",136.0
point,0.131836,,722,811,772,827,[],"[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",143.0
semiminim,0.847656,7,710,817,777,834,"[['7', 0.9999901], ['6', 9.562646e-06], ['8', 2.6816926e-07]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",148.0
semiminim,0.865234,8,714,830,781,845,"[['8', 0.9999907], ['7', 9.3339995e-06], ['3', 4.4927875e-09]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",133.0
minim,0.840332,9,723,844,789,860,"[['9', 0.99993], ['8', 6.684623e-05], ['3', 1.6652351e-06]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",139.0
colored semibreve,0.783203,8,744,857,781,875,"[['8', 0.99997973], ['4', 1.1940092e-05], ['7', 8.310049e-06]]","[712, 718, 725, 731, 738, 744, 751, 757, 764, 770, 777, 783, 789, 796, 802]",125.0
semiminim,0.844238,7,710,871,777,887,"[['7', 0.9999999], ['6', 1.7642445e-07], ['8', 4.0838968e-10]]","[712, 718, 725, 731, 738, 744, 751, 757, 762, 768, 777, 783, 789, 796, 802]",126.0
minim,0.772461,6,707,884,767,900,"[['6', 0.9999113], ['5', 8.7792614e-05], ['13', 7.4487366e-07]]","[712, 718, 725, 731, 738, 744, 750, 756, 764, 770, 777, 783, 789, 796, 802]",129.0
g clef,0.281006,9,725,954,783,975,[1.0],"[712, 718, 725, 731, 737, 743, 750, 756, 763, 769, 776, 782, 788, 795, 801]",151.0
