image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,c clef,9,309,335
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,breve,4,351,374
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,6,382,399
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,point,,392,405
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,semiminim,5,403,420
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,semibreve,7,422,443
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,breve,8,445,468
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,breve rest,,466,483
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,breve rest,,494,508
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,5,514,530
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,4,537,554
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,4,557,575
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,6,598,614
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,point,,608,622
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,semiminim,5,622,637
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,7,643,660
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,7,664,681
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,semibreve,8,686,706
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,breve rest,,708,724
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,longa rest,,720,735
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,semibreve rest,,733,746
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,2,765,784
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,2,789,807
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,minim,2,811,830
./Ground_with_df/IDEM/B-Br-ms-228/133_134_65v_7760_10328/133_134_65v_7760_10328_3.jpeg,custos,,827,862
