image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,c clef,11,223,244
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,breve,4,245,265
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,4,264,281
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,5,279,296
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,4,296,312
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,6,313,330
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,colored semibreve,4,326,343
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,5,344,360
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,6,358,374
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,7,371,386
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,breve,6,386,405
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,breve rest,,405,418
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,longa rest,,416,428
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,breve,8,426,444
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,8,446,464
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,8,464,481
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,7,481,498
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,5,497,511
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,breve,6,514,534
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,6,535,551
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,6,550,566
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semibreve,8,565,582
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,8,582,598
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,point,,593,604
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,7,602,616
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,6,615,629
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,5,627,641
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,4,641,657
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,point,,651,663
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,5,660,675
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,6,674,689
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,5,688,703
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,6,700,714
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,7,714,727
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,8,725,738
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,minim,7,736,750
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,point,,743,756
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,semiminim,8,754,769
./Ground_with_df/IDEM/B-Br-ms-228/24_025_11r_7760_10328/24_025_11r_7760_10328_1.jpeg,custos,,767,788
