image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,c clef,7,254,274
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,Imincut,,271,304
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,longa rest,,300,318
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,breve,7,322,339
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,breve,6,335,353
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,colored breve,7,353,372
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semiminim,8,371,389
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semiminim,9,389,407
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,8,406,424
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,9,422,442
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,10,439,458
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,breve,9,458,480
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,breve rest,,476,491
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim rest,,490,503
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,5,501,523
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semiminim,6,521,537
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semiminim,7,537,554
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,6,554,573
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,9,568,587
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,8,585,605
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,9,600,618
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim rest,,616,625
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,9,623,639
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,10,637,653
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,minim,9,649,667
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,8,666,687
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,semibreve,9,684,708
./Ground_with_df/IDEM/B-Br_MSIV.922/250_251_125r_6988_8533/250_251_125r_6988_8533_0.jpeg,custos,,695,739
