image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,f clef,5,279,318
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,Imincut,,313,336
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,11,336,354
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,8,349,363
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,point,,350,359
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,9,364,378
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,10,373,390
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,12,390,408
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,11,404,422
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve rest,,421,431
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,11,432,455
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,7,453,469
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,5,468,484
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,6,482,498
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,8,496,512
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,colored breve,7,506,523
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,colored semibreve,8,527,536
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,longa,10,539,558
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,10,542,555
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,colored breve,7,553,565
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,colored semibreve,8,568,584
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,9,580,597
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,10,597,614
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,8,611,626
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,7,623,638
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,8,635,651
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,5,646,659
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,4,656,672
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve rest,,684,693
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,7,691,709
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,8,708,724
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,5,721,736
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,4,732,751
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,6,751,766
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,5,764,783
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,semibreve,4,781,798
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,breve,7,793,818
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0069_fa_0032r_7760_10328/Chig.C.VIII.234_0069_fa_0032r_7760_10328_6.jpeg,custos,,827,860
