image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,c clef,9,275,290
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,5,297,311
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,307,316
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semiminim,4,316,328
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,3,326,339
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,4,337,351
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,2,348,360
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,354,366
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,fusa,3,363,377
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,fusa,4,373,387
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,5,385,398
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,6,397,410
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,3,411,425
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,4,423,436
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,5,434,446
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,441,452
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,7,448,463
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,4,457,471
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,5,469,482
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,7,482,497
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,6,495,509
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,7,507,520
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,3,521,535
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,4,533,548
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,5,544,561
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,6,561,578
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,7,575,588
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,6,589,605
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,4,602,615
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,604,614
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,3,616,630
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semibreve,2,627,640
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,637,647
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semiminim,3,644,657
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,semiminim,2,657,670
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,minim,4,669,682
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0088_fa_0041v_7760_10328/Chig.C.VIII.234_0088_fa_0041v_7760_10328_1.jpeg,point,,676,686
