image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,c clef,5,334,350
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,flat,4,347,360
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,flat,8,347,358
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,Imin,,358,380
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,Pmin,,361,380
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,longa,7,382,404
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,breve,10,412,430
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve,10,429,446
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve,6,441,459
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,breve rest,,460,472
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,breve,9,478,498
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,5,497,512
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,4,512,526
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,point,,522,533
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semiminim,5,532,544
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored breve,7,546,563
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,minim rest,,579,590
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored breve,7,586,595
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,10,599,619
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored breve,7,618,635
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,5,631,650
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored breve,5,647,665
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,6,666,682
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored breve,10,681,698
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve rest,,710,730
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve rest,,730,739
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve rest,,737,747
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,breve rest,,749,758
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve rest,,756,766
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve rest,,764,776
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,semibreve,9,771,783
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,minim,8,784,801
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,minim,7,798,812
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,point,,810,822
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,fusa,8,816,827
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,minim,10,824,840
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,minim,10,836,849
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,custos,,856,874
./Ground_with_df/IDEM/Chig.C.VIII.234/Chig.C.VIII.234_0225_fa_0110r/Chig.C.VIII.234_0225_fa_0110r_0.jpeg,colored semibreve,7,564,581
