label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.842285,3,727,120,784,144,[0.99],"[725, 731, 737, 743, 749, 755, 762, 768, 774, 780, 787, 793, 799, 805, 811]",158.0
minim,0.856934,4,733,151,793,171,"[['4', 0.9999949], ['3', 5.123077e-06], ['9', 2.1971198e-09]]","[725, 731, 737, 743, 750, 756, 762, 768, 774, 780, 786, 792, 798, 804, 810]",141.0
minim,0.855469,4,731,175,790,196,"[['4', 1.0], ['3', 5.2408207e-09], ['9', 1.5772478e-10]]","[725, 731, 737, 743, 750, 756, 762, 768, 774, 780, 787, 793, 799, 805, 811]",143.0
semibreve,0.867188,4,732,198,767,220,"[['4', 1.0], ['3', 7.669066e-12], ['0', 3.4088505e-12]]","[725, 731, 737, 743, 750, 756, 762, 768, 774, 780, 786, 792, 798, 804, 810]",142.0
breve,0.849121,4,734,221,766,246,"[['4', 1.0], ['5', 2.9010317e-13], ['12', 1.7295033e-19]]","[726, 732, 738, 744, 750, 756, 762, 768, 774, 780, 787, 793, 799, 805, 811]",148.0
minim rest,0.693848,,738,257,807,271,[],"[726, 732, 738, 744, 751, 757, 763, 769, 774, 780, 787, 793, 799, 805, 811]",176.0
minim,0.803223,11,753,274,810,293,"[['11', 0.9999999], ['12', 7.814882e-08], ['10', 1.256318e-12]]","[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 787, 793, 799, 805, 811]",137.0
point,0.477295,,764,279,806,298,[],"[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 787, 793, 799, 805, 811]",133.0
point,0.776855,,777,286,799,301,[],"[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 787, 793, 799, 805, 811]",139.0
semibreve,0.229858,6,775,294,802,300,"[['6', 0.5842859], ['5', 0.40320632], ['13', 0.010592145]]","[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 788, 794, 800, 806, 812]",145.0
minim,0.101135,11,737,294,807,300,"[['11', 0.99922967], ['5', 0.0005676763], ['12', 0.00014918893]]","[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 788, 794, 800, 806, 812]",133.0
semiminim,0.853516,10,745,302,805,322,"[['10', 0.988724], ['11', 0.010021223], ['9', 0.00058257626]]","[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 788, 794, 800, 806, 812]",135.0
semiminim,0.869141,9,739,323,801,341,"[['9', 0.9999728], ['10', 1.8156441e-05], ['8', 9.043461e-06]]","[726, 732, 738, 744, 751, 757, 763, 769, 775, 781, 788, 794, 800, 806, 812]",132.0
semiminim,0.858398,8,735,347,792,366,"[['8', 1.0], ['7', 1.9144858e-10], ['9', 4.4342186e-11]]","[727, 733, 739, 745, 751, 757, 764, 770, 775, 781, 788, 794, 800, 806, 812]",131.0
semiminim,0.850586,7,730,372,790,391,"[['7', 1.0], ['6', 1.2453174e-12], ['8', 8.2236504e-14]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 788, 794, 800, 806, 812]",132.0
semiminim,0.849121,6,726,395,785,415,"[['6', 1.0], ['5', 2.4106461e-14], ['12', 1.032653e-15]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",132.0
minim,0.864258,5,739,423,799,444,"[['5', 1.0], ['11', 1.9402526e-09], ['6', 5.3457844e-10]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",137.0
minim,0.851562,5,739,448,799,469,"[['5', 1.0], ['6', 2.3516933e-10], ['11', 1.9452715e-11]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",143.0
minim,0.843262,3,735,476,791,497,"[['3', 0.91303164], ['4', 0.0869347], ['8', 3.1809344e-05]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",147.0
semibreve,0.858398,7,751,500,789,523,"[['7', 1.0], ['8', 1.8321233e-09], ['3', 6.4884725e-12]]","[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",146.0
custos,0.619141,,734,532,771,563,[],"[727, 733, 739, 745, 752, 758, 764, 770, 776, 782, 789, 795, 801, 807, 813]",154.0
custos,0.566895,,734,568,771,598,[],"[728, 734, 740, 746, 753, 759, 765, 771, 777, 783, 789, 795, 801, 807, 813]",160.0
