label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.818848,11,489,185,537,208,[0.99],"[450, 456, 463, 469, 476, 482, 488, 494, 500, 506, 514, 520, 526, 533, 539]",136.0
breve,0.844727,6,473,204,504,230,"[['6', 1.0], ['5', 5.6862124e-12], ['7', 1.1782001e-19]]","[450, 456, 463, 469, 476, 482, 488, 494, 500, 506, 514, 520, 526, 533, 539]",164.0
breve,0.812988,7,477,230,510,256,"[['7', 1.0], ['8', 1.9067583e-08], ['6', 2.1998516e-10]]","[449, 455, 462, 468, 475, 481, 488, 494, 500, 506, 513, 519, 525, 532, 538]",147.0
minim rest,0.69043,,460,253,527,266,[],"[449, 455, 462, 468, 475, 481, 488, 494, 500, 506, 513, 519, 525, 532, 538]",158.0
minim,0.812012,7,452,267,513,286,"[['7', 1.0], ['8', 4.084871e-10], ['6', 1.7891387e-10]]","[449, 455, 462, 468, 475, 481, 488, 494, 500, 506, 513, 519, 525, 532, 538]",150.0
semibreve,0.733398,2,450,286,514,307,"[['2', 0.9994443], ['1', 0.0004924377], ['6', 3.5085366e-05]]","[450, 456, 463, 469, 475, 481, 488, 494, 500, 506, 513, 519, 525, 532, 538]",148.0
semibreve,0.688477,8,450,312,521,337,"[['8', 0.999998], ['7', 2.0314978e-06], ['9', 3.6703758e-09]]","[450, 456, 463, 469, 475, 481, 487, 493, 500, 506, 513, 519, 525, 532, 538]",151.0
minim,0.846191,7,452,340,513,360,"[['7', 0.99999964], ['8', 2.7090556e-07], ['6', 5.8244428e-08]]","[450, 456, 463, 469, 475, 481, 487, 493, 500, 506, 513, 519, 525, 532, 538]",150.0
semiminim,0.816406,11,481,358,537,376,"[['11', 1.0], ['12', 1.0016508e-12], ['10', 4.6732437e-14]]","[450, 456, 463, 469, 475, 481, 488, 494, 500, 506, 513, 519, 525, 532, 538]",144.0
point,0.158325,,502,372,523,378,[],"[449, 455, 462, 468, 475, 481, 487, 493, 500, 506, 512, 518, 524, 531, 537]",164.0
semiminim,0.86084,10,473,375,529,392,"[['10', 1.0], ['11', 1.5477314e-08], ['9', 1.3265385e-09]]","[449, 455, 462, 468, 475, 481, 487, 493, 500, 506, 512, 518, 524, 531, 537]",143.0
semiminim,0.851562,9,465,392,524,410,"[['9', 0.99999976], ['8', 2.448663e-07], ['10', 6.0635688e-09]]","[449, 455, 462, 468, 475, 481, 487, 493, 500, 506, 512, 518, 524, 531, 537]",138.0
semiminim,0.860352,8,461,411,517,429,"[['8', 0.9999999], ['7', 6.710342e-08], ['9', 1.0046338e-08]]","[449, 455, 462, 468, 475, 481, 487, 493, 500, 506, 512, 518, 524, 531, 537]",140.0
