image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,c clef,7,483,500
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,Imincut,,501,523
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,breve,5,526,548
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,semibreve,5,552,570
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,semibreve,5,573,595
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,breve,4,613,637
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,semibreve,5,648,670
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,semibreve,7,683,705
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,breve,8,718,742
./Ground_with_df/IDEM/Leuven_Chansonnier/Leuven_Chansonnier_leuven-chansonnier_132_60v/Leuven_Chansonnier_leuven-chansonnier_132_60v_0.jpeg,breve,9,762,786
