image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,11,151,166
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,4,158,176
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,6,175,190
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,5,187,203
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,point,,197,208
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,7,222,236
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,point,,231,241
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,minim,8,236,249
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,minim,8,246,257
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,minim,9,257,271
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,7,270,288
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,10,288,307
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,9,309,319
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,8,313,331
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,7,327,344
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,6,340,353
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,7,353,371
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,4,367,381
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,point,,376,390
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,4,416,432
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,point,,425,437
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semiminim,5,434,446
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semiminim,6,444,458
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,8,473,495
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,9,488,504
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,breve,10,497,511
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,longa,11,506,526
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,c clef,7,129,149
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,minim,6,210,222
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,minim,6,386,396
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,semibreve,5,399,416
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,breve,5,460,477
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_049_19r/leuven-chansonnier_049_19r_2.jpeg,barline,,530,552
