image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,g clef,9,347,388
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,breve,4,407,435
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,4,448,471
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,4,477,501
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,breve,3,507,538
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,3,546,569
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,3,572,594
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,4,604,629
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,5,636,657
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,point,,650,668
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,minim,6,669,691
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,breve,6,693,724
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,7,722,746
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,breve,6,744,781
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,8,775,794
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,semibreve,10,794,813
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_110_49v/leuven-chansonnier_110_49v_1.jpeg,custos,,810,853
