image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,c clef,5,136,154
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,flat,6,149,166
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,4,162,177
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,7,173,189
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,4,181,200
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,6,205,224
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,5,221,240
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,8,232,252
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,7,245,265
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,6,259,279
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,8,269,293
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semiminim,9,286,302
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semiminim,10,297,314
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,11,303,333
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim rest,,321,337
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,9,333,352
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,8,345,366
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,6,358,377
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,point,,368,389
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semiminim,7,382,398
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semiminim,8,392,407
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semiminim,9,404,419
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,semibreve,10,432,456
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,minim,11,447,467
./Ground_with_df/IDEM/Leuven_Chansonnier/leuven-chansonnier_171/leuven-chansonnier_171_2.jpeg,point,,458,477
