image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,f clef,5,110,151
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,flat,9,146,167
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,7,185,212
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,11,227,254
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim rest,,273,289
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,4,291,316
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,4,317,341
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,5,350,372
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,7,381,401
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,6,408,430
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,5,437,460
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,4,469,492
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,3,512,526
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,point,,521,536
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semiminim,4,530,554
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,4,556,580
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,5,579,602
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,4,611,638
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,breve rest,,639,658
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim rest,,655,672
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,semibreve,4,683,708
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,4,715,739
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,5,751,774
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,minim,7,783,808
./Ground_with_df/IDEM/MunBSF/MunBSF_14_015_8r_4370_6088/MunBSF_14_015_8r_4370_6088_6.jpeg,custos,,827,858
