image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,g clef,9,154,192
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semibreve,8,211,234
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semibreve,10,234,258
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,10,272,296
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,3,346,370
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,4,385,408
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,point,,401,420
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,6,424,447
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,5,468,494
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,6,512,533
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,point,,533,548
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,8,553,576
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,minim,7,592,618
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,8,642,664
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,7,672,695
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,6,702,724
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,5,732,755
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,4,769,791
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,semiminim,3,801,824
./Ground_with_df/IDEM/MunBSF/MunBSF_195_196_98v_4381_6009/MunBSF_195_196_98v_4381_6009_4.jpeg,custos,,849,875
