image_id,label,pos,xmin,xmax
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,f clef,5,125,166
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,longa,10,168,201
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve rest,,204,219
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve,7,224,251
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,7,255,280
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve,7,283,308
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,7,312,337
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,10,343,367
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,8,371,394
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve,9,398,426
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,breve,10,426,458
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,breve rest,,464,483
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,breve rest,,485,503
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,breve rest,,506,520
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve rest,,526,542
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,semibreve,8,551,579
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,11,588,612
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,9,618,642
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,10,654,677
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,minim,10,684,708
./Ground_with_df/IDEM/NL-_sHerAB_72A/NL-_sHerAB_72A_142_67_8000_10438/NL-_sHerAB_72A_142_67_8000_10438_4.jpeg,custos,,713,768
