label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
c clef,0.828125,7,1114,329,1174,350,[0.99],"[1106, 1111, 1117, 1122, 1129, 1134, 1139, 1144, 1151, 1156, 1161, 1166, 1171, 1177, 1182]",139.0
flat,0.754883,11,1118,345,1163,360,"[['11', 0.99871695], ['10', 0.0011964702], ['12', 4.2507847e-05]]","[1108, 1113, 1119, 1124, 1129, 1134, 1139, 1144, 1150, 1155, 1161, 1166, 1171, 1177, 1182]",157.0
semibreve,0.645508,2,1104,357,1134,378,"[['2', 1.0], ['3', 2.7702796e-10], ['1', 2.495609e-13]]","[1108, 1113, 1119, 1124, 1129, 1134, 1139, 1144, 1150, 1155, 1161, 1166, 1171, 1177, 1182]",136.0
minim,0.843262,3,1108,379,1166,397,"[['3', 1.0], ['4', 1.6100721e-10], ['8', 1.2561469e-10]]","[1108, 1113, 1119, 1124, 1129, 1134, 1139, 1144, 1150, 1155, 1161, 1166, 1171, 1177, 1182]",145.0
minim,0.728027,4,1111,400,1168,419,"[['4', 1.0], ['3', 5.838549e-08], ['5', 1.7079e-12]]","[1108, 1113, 1119, 1124, 1129, 1134, 1139, 1144, 1150, 1155, 1161, 1166, 1171, 1177, 1182]",153.0
minim,0.755859,5,1118,422,1175,441,"[['5', 0.9999174], ['11', 8.2590355e-05], ['6', 7.811014e-09]]","[1109, 1114, 1120, 1125, 1130, 1135, 1140, 1145, 1151, 1156, 1162, 1167, 1172, 1178, 1183]",147.0
semiminim,0.836426,6,1122,442,1177,459,"[['6', 0.83806664], ['5', 0.1619323], ['12', 9.465425e-07]]","[1109, 1114, 1120, 1125, 1130, 1135, 1140, 1145, 1151, 1156, 1162, 1167, 1172, 1178, 1183]",143.0
fusa,0.684082,11,1117,461,1179,480,"[['11', 0.98629874], ['5', 0.013700331], ['12', 9.625473e-07]]","[1110, 1115, 1121, 1126, 1130, 1135, 1141, 1146, 1152, 1157, 1163, 1168, 1173, 1179, 1184]",147.0
fusa,0.694824,4,1111,479,1175,499,"[['4', 0.9872503], ['11', 0.009014994], ['3', 0.0034657826]]","[1110, 1115, 1121, 1126, 1131, 1136, 1141, 1146, 1152, 1157, 1164, 1169, 1174, 1180, 1185]",147.0
semibreve,0.833984,3,1109,500,1145,522,"[['3', 1.0], ['4', 4.579614e-10], ['0', 2.3787539e-12]]","[1110, 1115, 1121, 1126, 1131, 1136, 1142, 1147, 1152, 1157, 1164, 1169, 1174, 1180, 1185]",158.0
minim,0.840332,4,1114,524,1172,544,"[['4', 1.0], ['3', 1.2588733e-11], ['5', 8.319863e-13]]","[1111, 1116, 1122, 1127, 1132, 1137, 1142, 1147, 1153, 1158, 1164, 1169, 1174, 1180, 1185]",158.0
semibreve,0.778809,3,1109,544,1146,566,"[['3', 0.9376431], ['4', 0.062356375], ['5', 2.2126589e-07]]","[1111, 1116, 1122, 1127, 1132, 1137, 1143, 1148, 1153, 1158, 1165, 1170, 1175, 1181, 1186]",162.0
longa rest,0.762207,,1116,564,1177,576,[],"[1111, 1116, 1122, 1127, 1133, 1138, 1143, 1148, 1154, 1159, 1165, 1170, 1175, 1181, 1186]",155.0
minim rest,0.567871,,1114,575,1177,588,[],"[1112, 1117, 1123, 1128, 1133, 1138, 1143, 1148, 1154, 1159, 1166, 1171, 1176, 1182, 1187]",159.0
Pmin,1.0,,1109,584,1141,607,[],"[1112, 1117, 1123, 1128, 1133, 1138, 1144, 1149, 1154, 1159, 1166, 1171, 1176, 1182, 1187]",155.0
minim,0.628906,3,1114,607,1172,625,"[['3', 1.0], ['4', 3.3573877e-10], ['12', 9.05704e-12]]","[1113, 1118, 1124, 1129, 1134, 1139, 1145, 1150, 1155, 1160, 1167, 1172, 1177, 1183, 1188]",159.0
minim,0.805176,4,1119,626,1176,645,"[['4', 0.99999356], ['3', 6.380222e-06], ['5', 1.3297454e-08]]","[1114, 1119, 1125, 1130, 1135, 1140, 1145, 1150, 1156, 1161, 1168, 1173, 1178, 1184, 1189]",159.0
minim,0.821777,5,1124,646,1181,666,"[['5', 0.9999999], ['11', 9.72333e-08], ['6', 3.5988368e-08]]","[1114, 1119, 1125, 1130, 1135, 1140, 1146, 1151, 1157, 1162, 1168, 1173, 1178, 1184, 1189]",154.0
semibreve,0.842773,6,1127,666,1165,690,"[['6', 0.9999887], ['7', 1.1292361e-05], ['2', 7.584546e-09]]","[1114, 1119, 1125, 1130, 1136, 1141, 1146, 1151, 1158, 1163, 1169, 1174, 1179, 1185, 1190]",164.0
semibreve,0.863281,2,1106,692,1145,717,"[['2', 1.0], ['3', 1.0468989e-10], ['1', 8.669681e-15]]","[1115, 1120, 1126, 1131, 1136, 1141, 1147, 1152, 1158, 1163, 1169, 1174, 1179, 1185, 1190]",168.0
minim rest,0.855957,,1118,719,1183,733,[],"[1115, 1120, 1126, 1131, 1136, 1141, 1147, 1152, 1158, 1163, 1170, 1175, 1180, 1186, 1191]",168.0
semibreve,0.75,6,1125,736,1164,758,"[['6', 0.9954874], ['5', 0.004512193], ['2', 1.8275158e-07]]","[1115, 1120, 1126, 1131, 1136, 1141, 1146, 1151, 1158, 1163, 1169, 1174, 1179, 1185, 1190]",158.0
minim,0.856445,8,1111,755,1170,775,"[['8', 0.6563194], ['7', 0.34361583], ['13', 6.282472e-05]]","[1114, 1119, 1125, 1130, 1136, 1141, 1146, 1151, 1157, 1162, 1169, 1174, 1179, 1185, 1190]",156.0
