label,"dur_prob,",staff position,ymin,xmin,ymax,xmax,classes_and_prob,correct_staff,foreground
g clef,0.145508,9,780,117,840,146,[1.0],"[774, 779, 785, 790, 792, 797, 804, 809, 818, 823, 825, 830, 835, 841, 846]",144.0
Pmin,1.0,,793,157,828,183,[],"[773, 778, 784, 789, 796, 801, 807, 812, 818, 823, 828, 833, 838, 844, 849]",137.0
point,0.315918,,798,218,825,237,[],"[775, 780, 786, 791, 798, 803, 809, 814, 821, 826, 831, 836, 841, 847, 852]",147.0
point,0.321533,,798,218,825,237,[],"[775, 780, 786, 791, 798, 803, 809, 814, 821, 826, 831, 836, 841, 847, 852]",147.0
breve rest,0.321533,,780,245,847,260,[],"[776, 781, 787, 792, 799, 804, 811, 816, 821, 826, 832, 837, 842, 848, 853]",162.0
c clef,0.737305,5,771,291,839,314,[0.99],"[777, 782, 788, 793, 800, 805, 811, 816, 822, 827, 833, 838, 843, 849, 854]",147.0
flat,0.809082,6,778,309,826,324,"[['6', 0.99151295], ['7', 0.008486502], ['12', 5.5186257e-07]]","[777, 782, 788, 793, 800, 805, 810, 815, 822, 827, 833, 838, 843, 849, 854]",151.0
minim,0.783691,6,790,333,850,353,"[['6', 0.9999975], ['7', 2.4511119e-06], ['12', 3.0290146e-08]]","[777, 782, 788, 793, 800, 805, 811, 816, 822, 827, 833, 838, 843, 849, 854]",154.0
minim,0.84668,4,782,362,841,383,"[['4', 1.0], ['3', 5.207594e-11], ['5', 3.145326e-12]]","[777, 782, 788, 793, 800, 805, 811, 816, 822, 827, 833, 838, 843, 849, 854]",153.0
minim,0.791504,5,786,384,848,403,"[['5', 0.99416536], ['11', 0.005221869], ['6', 0.00034312]]","[777, 782, 788, 793, 800, 805, 811, 816, 822, 827, 832, 837, 842, 848, 853]",148.0
point,0.807617,,788,396,810,412,[],"[777, 782, 788, 793, 800, 805, 811, 816, 822, 827, 832, 837, 842, 848, 853]",139.0
semiminim,0.794434,6,790,413,850,432,"[['6', 0.9802548], ['7', 0.01973326], ['12', 9.511774e-06]]","[776, 781, 787, 792, 799, 804, 811, 816, 822, 827, 832, 837, 842, 848, 853]",145.0
point,0.842285,,787,422,811,439,[],"[776, 781, 787, 792, 798, 803, 811, 816, 822, 827, 832, 837, 842, 848, 853]",154.0
semibreve,0.126221,7,800,435,836,459,"[['7', 0.99525875], ['8', 0.0047377236], ['3', 3.3026195e-06]]","[776, 781, 787, 792, 799, 804, 811, 816, 822, 827, 832, 837, 842, 848, 853]",147.0
minim,0.481934,8,778,460,840,481,"[['8', 0.99955314], ['7', 0.0002847766], ['9', 8.876823e-05]]","[776, 781, 787, 792, 799, 804, 811, 816, 821, 826, 832, 837, 842, 848, 853]",150.0
point,0.812012,,811,474,831,489,[],"[776, 781, 787, 792, 799, 804, 809, 814, 821, 826, 831, 836, 841, 847, 852]",137.0
point,0.815918,,811,474,831,489,[],"[776, 781, 787, 792, 799, 804, 809, 814, 821, 826, 831, 836, 841, 847, 852]",137.0
semiminim,0.815918,7,778,491,836,511,"[['7', 1.0], ['8', 1.4187496e-10], ['6', 4.8770983e-12]]","[776, 781, 787, 792, 799, 804, 810, 815, 821, 826, 831, 836, 841, 847, 852]",139.0
minim,0.840332,6,789,517,849,537,"[['6', 0.9999976], ['7', 2.3320836e-06], ['5', 4.4187896e-08]]","[775, 780, 786, 791, 798, 803, 810, 815, 821, 826, 831, 836, 841, 847, 852]",148.0
point,0.841797,,785,525,803,541,[],"[775, 780, 786, 791, 796, 801, 809, 814, 820, 825, 831, 836, 841, 847, 852]",162.0
minim,0.220215,5,785,538,842,560,"[['5', 1.0], ['6', 3.2036984e-09], ['11', 1.3271763e-09]]","[775, 780, 786, 791, 798, 803, 809, 814, 820, 825, 830, 835, 840, 846, 851]",143.0
minim,0.80127,4,778,565,837,587,"[['4', 1.0], ['3', 1.0361049e-09], ['9', 1.492363e-10]]","[774, 779, 785, 790, 797, 802, 809, 814, 820, 825, 830, 835, 840, 846, 851]",155.0
minim,0.806641,8,776,592,836,613,"[['8', 0.9999788], ['7', 2.1099619e-05], ['3', 1.1205003e-07]]","[774, 779, 785, 790, 797, 802, 809, 814, 819, 824, 830, 835, 840, 846, 851]",153.0
semibreve,0.84082,7,792,615,835,638,"[['7', 0.99914026], ['8', 0.00085908343], ['3', 5.132108e-07]]","[774, 779, 785, 790, 797, 802, 807, 812, 819, 824, 829, 834, 839, 845, 850]",142.0
g clef,0.224243,9,771,647,824,676,[1.0],"[774, 779, 785, 790, 797, 802, 808, 813, 819, 824, 829, 834, 839, 845, 850]",157.0
minim,0.140625,4,778,679,840,699,"[['4', 0.99993443], ['8', 2.5900543e-05], ['9', 2.3510182e-05]]","[774, 779, 785, 790, 797, 802, 808, 813, 819, 824, 829, 834, 839, 845, 850]",146.0
custos,0.467529,,791,698,836,734,[],"[774, 779, 785, 790, 797, 802, 808, 813, 819, 824, 829, 834, 839, 845, 850]",148.0
