image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,c clef,7,123,144
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,Imin,,145,166
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semibreve rest,,165,174
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semibreve,7,174,191
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,8,191,203
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,point,,198,209
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,8,206,219
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,5,222,235
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,6,236,249
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semibreve,5,252,267
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,breve,5,266,285
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,breve rest,,283,292
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim rest,,291,300
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,11,301,316
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,10,316,332
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,point,,325,336
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,10,332,348
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,7,348,361
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,6,362,375
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,5,377,390
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,4,391,404
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,3,406,419
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,5,419,432
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,4,435,448
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,minim,4,448,460
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,point,,455,468
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,5,466,480
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,6,479,493
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,semiminim,7,494,507
./Ground_with_df/NON_IDEM/Anerio-Ghirlanda-Sacra/R026_048_l/R026_048_l_2.jpeg,custos,,512,534
