image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,g clef,9,52,72
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,Pmin,,70,93
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,2,,87,106
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,3,,90,106
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,7,107,121
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,point,,115,129
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semiminim,7,129,145
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,6,145,161
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,7,161,175
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,7,179,195
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,6,198,213
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semibreve,8,214,230
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,9,230,246
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semibreve,9,247,263
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim rest,,264,274
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semibreve,8,273,292
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,6,291,307
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,7,308,322
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,point,,317,329
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semiminim,7,325,339
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,sharp,,336,353
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,minim,7,347,363
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,semibreve,5,363,382
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,longa,7,382,403
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/Belli-Compieta-1607_belli-_2a-7/Belli-Compieta-1607_belli-_2a-7_6.jpeg,barline,,403,417
