image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,f clef,5,53,83
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,flat,9,80,93
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,5,94,110
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,9,113,128
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,8,130,145
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,point,,141,155
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,fusa,9,154,169
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,fusa,10,172,184
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,12,186,202
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,10,203,217
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,9,216,232
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,8,233,247
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,7,248,264
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,6,265,280
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semibreve,5,281,297
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,8,297,312
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,7,310,327
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,point,,321,334
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semiminim,7,334,349
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,11,353,369
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,8,372,388
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,9,390,407
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,minim,11,410,425
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semibreve,7,427,442
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,semibreve,10,438,456
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,longa,7,456,477
./Ground_with_df/NON_IDEM/Belli-Compieta-1607/belli-%2a-202/belli-%2a-202_7.jpeg,barline,,475,493
