image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,c clef,5,281,299
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,flat,6,292,308
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,colored breve,4,308,331
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semiminim,5,329,346
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semiminim,6,346,364
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,7,361,380
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,6,372,389
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,breve,8,389,406
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,breve,9,407,431
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,8,439,460
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,7,453,468
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,6,466,484
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,5,479,496
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,4,493,510
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,point,,503,518
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semiminim,5,512,528
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semiminim,6,525,543
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,7,538,555
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,8,553,573
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,11,573,593
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,8,590,608
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve rest,,604,619
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,5,614,631
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,point,,622,634
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,7,631,645
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,6,643,657
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,breve,5,651,672
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,6,670,686
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,7,682,699
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,6,698,715
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,8,712,727
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,7,723,741
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,minim,6,736,751
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,semibreve,5,748,765
./Ground_with_df/NON_IDEM/Copenhagen_Chansonnier/Copenhagen_66/Copenhagen_66_3.jpeg,custos,,764,808
