image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,c clef,11,541,587
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,flat,5,582,627
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,Imin,,640,681
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semibreve,7,673,720
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,sharp,,708,756
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,point,,738,771
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,742,780
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,7,788,826
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,6,832,871
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,6,879,917
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,6,925,961
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,sharp,,951,1007
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,990,1030
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,point,,1013,1047
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,1038,1075
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,7,1085,1121
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,point,,1111,1142
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,7,1138,1176
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,flat,9,1169,1208
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semibreve,9,1204,1250
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,10,1254,1291
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,1300,1338
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,6,1345,1386
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,5,1399,1437
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,7,1446,1486
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,1494,1533
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim rest,,1536,1567
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,sharp,,1564,1615
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,8,1600,1636
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,7,1648,1682
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,6,1691,1729
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,5,1741,1780
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,5,1785,1825
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,6,1828,1870
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,6,1881,1922
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,7,1932,1970
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,semiminim,8,1976,2018
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,minim,9,2023,2065
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/002_l/002_l_0.jpeg,custos,,2069,2120
