image_id,label,pos,xmin,xmax
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,c clef,7,353,393
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,flat,8,389,432
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,Imin,,440,484
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,sharp,,474,530
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,4,521,562
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,point,,541,577
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,3,575,616
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,2,631,674
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,3,689,730
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,4,747,786
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semibreve,6,797,847
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,4,854,897
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,3,912,951
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,point,,934,973
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,3,967,1007
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semibreve,3,1020,1063
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,sharp,,1053,1114
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,4,1112,1152
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,fusa rest,,1154,1192
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,2,1200,1240
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,2,1255,1296
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,2,1313,1355
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,3,1372,1414
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,3,1430,1474
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,4,1486,1528
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,4,1537,1638
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,4,1539,1583
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,4,1594,1636
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,flat,5,1633,1666
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,semiminim,5,1666,1708
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,6,1718,1760
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,minim,6,1774,1818
./Ground_with_df/NON_IDEM/Gardano-Primo-Ariosi-1565/038_r/038_r_0.jpeg,custos,,1858,1904
